power,cpu,mem
226.17,24.15,67.31
230.34,26.85,49.65
228.97,28.6,50.78
229.57,24.98,57.27
227.53,30.5,62.7
227.11,30.28,65.97
231.13,23.23,45.68
230.17,26.68,62.55
231.38,26.7,47.36
233.46,28.6,39.74
229.38,25.14,40.76
232.48,28.22,44.98
228.14,23.56,64.9
227.79,23.38,45.73
229.35,21.31,52.15
226.61,28.87,64.28
227.48,25.54,61.68
229.47,26.45,45.28
230.6,21.37,53.38
226.83,29.81,67.74
226.68,22.8,66.52
230.92,23.25,50.42
233.11,26.76,44.93
230.1,24.08,39.15
228.81,26.09,62.09
231.57,28.4,57.52
232.16,30.25,44.71
232.64,31.06,53.76
234.2,30.68,48.36
224.16,21.24,64.65
232.91,26.79,47.82
230.02,27.63,54.76
232.29,30.29,50.31
233.98,30.63,38.53
227.46,21.1,64.58
228.87,22.52,60.86
229.83,24.64,61.53
227.69,25.24,61.21
234.35,29.23,41.28
231.3,25.15,56.53
226.76,28.17,61.11
227.22,25.53,59.42
230.88,28.56,61.1
228.23,22.16,62.78
230.36,24.21,47.46
229.26,26.9,56.02
228.14,22.59,49.98
227.95,22.98,57.01
229.65,22.59,49.79
228.67,21.98,37.9
227.19,21.6,65.13
229.64,26.16,45.34
228.65,24.86,43.98
227.58,22.4,64.55
232.2,30.36,55.29
232.14,30.22,54.82
226.97,21.47,66.57
230.61,24.61,49.23
226.78,22.79,57.06
232.75,24.4,42.12
227.77,23.02,56.65
233.75,28.04,44.17
224.34,22.55,67.22
228.9,28.4,65.34
229.95,21.99,55.21
228.77,22.85,40.99
227.35,33.56,73.9
230.72,40.66,80.83
229.4,32.93,62.82
233.3,38.21,63.6
228.05,35.96,74.41
235.01,38.3,63.98
233.42,35.21,53.59
225.75,31.8,78.55
231.57,34.69,58.63
233.23,35.43,53.86
231.17,33.8,67.61
237.88,42.44,54.31
227.89,34.49,78.4
226.08,31.27,72.64
232.62,40.02,69.5
230.33,36.02,67.88
228.47,39.11,80.75
228.46,39.97,80.93
231.2,36.1,66.58
226.35,31.28,78.2
228.35,32.3,70.61
232.5,39.37,74.94
230.4,35.02,63.72
229.42,35.82,72.73
230.94,33.12,56.29
236.82,38.57,54.98
232.69,39.05,73.59
231.75,41.5,74.54
235.1,40.89,65.16
233.06,41.81,72.45
231.93,32.01,55.46
230.77,34.01,62.77
233.95,42.17,69.09
226.1,36.47,80.49
231.09,38.61,77.32
226.13,32.49,81.27
239.67,42.46,52.85
235.1,39.71,67.75
235.77,41.14,68.6
228.86,36.88,75.78
229.44,36.02,69.13
237.3,41.37,53.12
236.76,39.54,58.4
228.86,32.36,69.86
238.9,41.62,57.02
235.84,42.32,64.3
226.05,30.91,77.41
231.58,42.12,81.1
237.7,42.11,54.98
223.48,30.54,80.15
228.26,33.78,70.1
231.99,37.03,62.61
233.02,30.82,50.65
231.4,36.26,72.23
234.86,37.06,50.05
229.12,34.01,69.35
230.69,30.47,53.24
235.2,35.54,51.8
235.67,42.1,69.77
237.35,40.87,54.8
233.31,41.69,75.3
237.86,40.9,55
228.58,31.52,72.21
231.1,41.84,77.48
227.1,31.91,70.11
234.01,36.27,52.03
235.13,40.92,69.55
238.15,39.82,54.5
228.48,34.64,69.98
225.31,32.76,79.12
228.4,34.2,70.36
227.75,37.15,79.85
232.39,32.23,54.45
229.44,32.76,62.74
233.46,32.77,52.06
228.31,39.28,81.17
232.55,35.63,67.47
229.44,40.79,80.57
232.36,34,59.05
229.97,31.48,67.66
236.27,39.61,50.28
233.47,40.7,76.19
229.96,37.08,78.05
236.17,38.51,52.59
239.15,41.58,54.71
235.15,37.7,59.82
232.96,33.91,54.65
231.69,30.79,54.09
230.6,35.21,62.31
233.99,34.05,50.33
226.94,31.21,75.58
227.4,36.63,79.13
235.27,38.47,59.81
233.09,31.35,51.19
234.19,41.25,73.09
233.7,40.08,65.37
238.67,41.56,53.56
236.87,40.21,53.95
233.93,36.86,49.85
235.68,41.14,67.62
225.08,30.24,74.7
233.23,41.66,74.7
229.34,36.53,75.34
229.98,30.94,62.7
232.89,36.56,55.04
234.09,40.78,63.72
234.26,42.33,69.83
230.53,40.36,79.61
233.33,39.08,69.69
229.25,37.2,77.88
235.45,36.96,55.02
225.65,31.51,78.36
229.76,36.8,74.02
228.86,40.11,80.04
227.52,32.42,68.66
236.99,39.18,54.39
234.38,36.22,50.8
234.28,41.9,70.08
231.92,34.22,62.4
236.81,38.97,58.01
235.25,38.53,57.52
236.49,41.45,56.93
235.7,39.52,50.44
233.82,37.9,66.96
231.46,30.39,55.7
234.05,38.23,65.87
228.25,32.81,71.99
226.85,32.85,77.69
227.08,33.93,80.23
236.66,37.8,50.12
236.16,39.81,54.31
235.2,36.4,57.02
236.57,42.02,65.99
230.91,32.02,65.17
233.51,39.86,69.45
227.83,32.31,69.71
229.39,32.45,66.93
233.38,37.45,68.89
235.2,39.92,68.14
230.37,40.74,79.65
233.21,37.27,56.71
232.56,33.53,53.56
233.71,41.51,71.34
232.15,32.54,52.82
231.72,38.99,74.68
231.67,30.62,57.56
232.39,35.8,62.86
232.93,33.88,49.67
232.13,35.72,60.53
238.16,40.46,50.89
233.33,34.14,59.8
227.07,30.99,71.07
232.74,35.8,54.96
228.05,32.53,74.31
236.81,40.31,61.54
234.51,36.2,49.92
235.92,39.42,50.87
231.55,30.74,52.99
232.93,37.83,64.33
232.92,41.25,70.89
231.17,40.39,77.71
230.44,37.82,74.42
234.88,40.2,68.9
230.96,34.14,58.71
232.55,34.03,53.3
233.44,37.45,65.16
228.29,37.39,80.56
231.68,33.95,59.5
235.99,40.74,62.23
235.42,36.57,55.83
227.92,31.39,75.66
233.49,37.16,60.2
231.29,37.4,68.28
236.26,42.24,67.32
233.8,35.69,60.17
231.93,35.89,58.4
229.81,35.02,68.63
229.3,39.34,80.41
227.94,36.91,79.73
232.61,32.7,55.56
226.75,31.98,78.79
233.81,39.42,60.35
236.58,39.23,59.38
232.05,40.55,77.77
235.09,41.42,71.14
230.13,30.43,62.97
224.42,30.24,79.57
230.85,33.59,62.1
227.95,32.98,74.04
225.98,30.68,77.41
231.66,41.12,76.59
237.06,41.49,58.32
233.45,36.95,53.25
233.34,41.96,71.76
239.84,42.21,49.6
237.39,41.1,54.67
226.99,35.93,76.81
235.5,42.41,69.01
234.79,36.47,53.48
227.89,31.49,70.54
231.31,44.14,84.99
231.31,41.2,77.54
229.19,41.46,82.66
230.94,44.22,85.28
237.93,44.27,67.54
235.97,45.18,75.26
227.14,42.71,92.16
238.02,43.26,66.07
237.29,43.04,64.58
226.67,43.04,92.13
225.79,43.38,96.85
233.81,42.91,76.03
233.92,43.33,78.61
236.25,42.08,66.42
236.54,41.55,64.93
237.83,43.01,65.18
235.54,41.51,68.87
235.8,42.23,70.16
226.24,42.76,93.62
233.76,41.95,73.81
231.44,43.64,84.09
230.08,42.53,85.31
236.19,42.95,69.82
239.4,44.14,63.38
229.39,43.84,86.92
228.69,41.3,85.52
228.71,42.8,90.72
234.78,42.66,74.86
222.28,41.26,96.73
225.07,44.67,97.23
233.5,45.39,80.23
230.28,42.28,84.72
229.59,42.82,87.49
237.29,43.42,67.45
235.41,40.82,63.43
227.57,42.97,89.54
227.89,42.5,90.07
239.37,44.87,64.03
229.29,40.83,83.05
233.87,41.43,72.37
235.1,41.33,66.21
231.26,42.08,83.15
236.29,44.85,72.99
239.27,45.1,64.32
231.84,40.74,73.87
236.44,45.08,73.54
230.86,42.34,84.45
236.43,43.55,70.21
231.6,41.1,76.61
228.66,45.26,91.6
227,41.2,89.44
238.54,44.69,68.41
235.42,42.61,70.52
226.92,43.08,92.46
233.77,41.01,72.07
225.14,40.67,91.5
225.27,41.12,91.56
232.05,43.32,82.37
237.03,42.23,65.56
226.87,42.21,93.25
228.76,45.42,91.63
233.61,44.35,82.92
231.29,44.18,86.99
229.66,43.51,86.05
235.57,43.15,71
234.45,41.31,67.06
224.16,41.73,95.1
229.96,40.81,84.38
233.01,44.91,82.78
226.05,44.35,96.56
229.57,44.77,90.82
234.25,41.65,73.7
236.84,43.74,64.52
237.63,44.46,65.46
237.1,44.03,67.89
234.5,44.96,77.83
237.31,43.24,65.8
232.99,41.58,73.91
234.46,41.62,72.8
236.13,41.6,65.22
231.55,41.97,79.4
231.99,42.19,77.03
236.76,41.73,66.1
231.58,44.26,86.51
228.95,44.99,90.34
234.52,42.93,70.81
228,42.5,89.87
232.78,43.73,80.99
236.24,45.13,73.11
233.62,43.23,80.26
234,43.59,78.2
233.76,41.72,70.3
227.74,45.07,95.18
226.23,42.09,91.65
235.91,42.36,69.64
230.49,41.33,81.4
234.72,44.48,77.82
226.44,43.55,93.51
232.68,42.56,77.97
227.07,45.06,96.15
239.39,44.6,65.4
234.37,44.26,74.93
235.56,46.64,78.81
242,50.21,70.49
239.34,47.23,71.29
242.76,50.76,67.95
238.24,45.19,64.32
242.27,48.56,72.18
237.99,45.24,75.6
239.01,45.66,71.07
239.57,47.43,68.85
237.1,43.11,70.65
234.39,45.22,78.93
237.17,47.65,78.68
238.39,46.96,72.55
236.6,46.7,75.17
241.82,48.66,71.98
235.48,44.46,69.72
237.36,44.77,66.46
242.6,50.29,73.59
242.15,48.05,62.57
235.88,44.45,73.4
242.17,47.33,65.91
235.36,43.18,71.55
236.04,44.07,78.41
241.47,46,64.36
239.21,44.08,68.46
238.93,48.27,71.45
243.48,49.77,65.68
237.69,46.3,67.75
240.91,49.83,76.8
236.79,46.18,76.95
235.99,44.98,71.09
243.92,50.31,69.31
241.41,47.1,68.39
239.18,45.79,65.25
239.81,45.42,68.25
234.92,44.95,75.26
243.28,48.85,61.71
239.29,48.69,71.3
242.93,48.26,62.72
238.47,44.47,64.34
241.57,49.42,70.03
235.72,45.95,72.54
238.82,45.81,61.98
243.52,50.69,69.95
237.49,45.68,68.53
236.87,44.88,70.78
240.27,47,63.93
245.49,50.58,61.63
237.24,44.28,68.29
240.68,47.86,68.14
243.71,47.33,63.26
239.43,49,73.45
243.87,50.48,68.37
243.64,49.16,69.33
239.44,49.83,78.44
243.4,50.68,64.53
236.12,45.53,72.33
237.11,46.03,72.81
238.7,43.77,62.87
235.29,44.56,77.6
234.57,43.55,76.18
244.2,48.7,64.15
236.5,45.98,72.19
244.91,50.46,66.42
237.65,46.96,72.42
242.75,49.21,68.94
235.46,45.44,77.18
239.62,45.85,67.17
237.1,45.6,79.18
236.14,45.91,71.86
239.77,47.79,72.1
237.64,45.3,77.28
243.48,47.93,61.99
241.42,47.72,70.11
242.8,48.11,68.51
237.38,44.23,65.03
240.55,47.5,64.74
237.84,47.36,74.96
240.66,48.83,75.38
241.89,46.07,63.97
236.61,46.76,78.18
244.11,50.31,64.51
242.31,49.52,72.28
236.9,46.39,73.92
238.37,45.46,64.02
235.83,47.33,77.36
236.72,44.07,70.77
236.49,45.5,78.85
243.4,49.8,73.69
236.28,45.52,72.6
243.54,48.01,61.68
241.77,48.72,62.93
234.52,46.38,77.62
237.92,43.8,62.43
243.43,49.16,61.08
243.98,50.1,63.23
243.88,49.66,62.02
238.82,47.51,69.5
244.03,48.54,62.14
239.25,46.6,64.88
240.64,44.93,62.03
240.97,47.8,69.46
238.91,45.23,69.59
237.81,45.63,75.9
236.98,43.61,64.3
244.96,49.46,63.04
241.12,48.26,70.11
238.34,45.46,62.82
240.29,50.47,74.06
244.69,50.27,68.34
245.54,50.26,65.89
241.52,48.5,62.67
236.41,43.52,74.46
243.32,48.88,65.03
243.09,50.49,77.73
243.41,50.69,76.66
239.69,45.15,61.75
234.63,43.31,74.76
237.66,45.38,68.39
235.57,45.51,72.73
242.65,50.1,73.13
238.82,45.6,63.98
242.04,50.49,68.52
238.76,47.31,70.28
236.04,45.55,79.25
244.37,48.59,63.6
240.44,50.62,75
238.66,45.32,66.76
238.47,48.19,73.51
234.67,43.33,71.81
246.54,49.84,61.03
233.21,43.5,78.71
244.14,50.61,61.06
239.97,43.38,62.77
233.69,43.48,72.11
234.43,44.83,76.99
242.92,50.64,74.22
243.55,49.27,71.31
234.08,43.5,74.53
238.87,45.55,74.12
244.25,49.98,64.36
241.26,50.5,76.15
238.14,46.23,73.46
234.44,45.13,78.46
241.7,46.14,65.65
240.92,50.08,72.41
240.32,48.69,70.89
243.59,50.74,76.38
240.09,43.64,62.35
245.5,50.64,63.75
235.44,44.85,77.25
236.49,44.16,63.78
233.47,43.57,76.49
236.09,43.52,69.03
238.83,46.33,68.33
239.04,44.92,67.54
243.58,49.98,73.42
240.31,45.97,69.39
234.35,43.54,71.86
242.98,50.68,73.68
246.6,50.71,62.16
236.96,45.89,75.88
238.65,44.76,62.54
240.15,48.88,77.14
235.59,44.68,76.92
241.09,45.82,66.6
237.33,43.66,61.34
240.99,49.32,75.64
